# cp [..cp] ; HO ; SVO ; MVO
2066 ; U ; U ; U
2067 ; U ; U ; U
2068 ; U ; U ; U
2069 ; U ; U ; U
206A..206F ; U ; U ; R
2070..209F ; U ; U ; R
20A0..20AB ; U ; U ; R
20AC ; U ; U ; R
20AD..20CF ; U ; U ; R
20D0..20DC ; U ; U ; R
20DD..20E0 ; U ; U ; U
20E1 ; U ; U ; R
20E2..20E4 ; U ; U ; U
20E5..20FF ; U ; U ; R
2100 ; U ; U ; U
2101 ; U ; U ; U
2102 ; U ; U ; U
2103 ; U ; U ; U
2104 ; U ; U ; U
2105 ; U ; U ; U
2106 ; U ; U ; U
2107 ; U ; U ; U
2108 ; U ; U ; U
2109 ; U ; U ; U
210A ; U ; U ; U
210B ; U ; U ; U
210C ; U ; U ; U
210D ; U ; U ; U
210E ; U ; U ; U
210F ; U ; U ; U
2110 ; U ; U ; U
2111 ; U ; U ; U
2112 ; U ; U ; U
2113 ; U ; U ; U
2114 ; U ; U ; U
2115 ; U ; U ; U
2116 ; U ; U ; U
2117 ; U ; U ; U
2118 ; U ; U ; R
2119 ; U ; U ; U
211A ; U ; U ; U
211B ; U ; U ; U
211C ; U ; U ; U
211D ; U ; U ; U
211E ; U ; U ; U
211F ; U ; U ; U
2120 ; U ; U ; U
2121 ; U ; U ; U
2122 ; U ; U ; U
2123 ; U ; U ; U
2124 ; U ; U ; U
2125 ; U ; U ; U
2126 ; U ; U ; U
2127 ; U ; U ; U
2128 ; U ; U ; U
2129 ; U ; U ; U
212A ; U ; U ; U
212B ; U ; U ; U
212C ; U ; U ; U
212D ; U ; U ; U
212E ; U ; U ; U
212F ; U ; U ; U
2130 ; U ; U ; U
2131 ; U ; U ; U
2132 ; U ; U ; R
2133 ; U ; U ; U
2134 ; U ; U ; U
2135 ; U ; U ; U
2136 ; U ; U ; U
2137 ; U ; U ; U
2138 ; U ; U ; U
2139 ; U ; U ; U
213A ; U ; U ; U
213B ; U ; U ; U
213C ; U ; U ; U
213D ; U ; U ; U
213E ; U ; U ; U
213F ; U ; U ; U
2140 ; U ; U ; R
2141 ; U ; U ; R
2142 ; U ; U ; R
2143 ; U ; U ; R
2144 ; U ; U ; R
2145 ; U ; U ; U
2146 ; U ; U ; U
2147 ; U ; U ; U
2148 ; U ; U ; U
2149 ; U ; U ; U
214A ; U ; U ; U
214B ; U ; U ; R
214C ; U ; U ; U
214D ; U ; U ; U
214E ; U ; U ; R
214F ; U ; U ; U
2150..218F ; U ; U ; U
2190..21FF ; U ; U ; R
2200..22FF ; U ; U ; R
2300..2307 ; U ; U ; U
2308..230B ; U ; U ; R
230C..231F ; U ; U ; U
2320 ; U ; U ; R
2321 ; U ; U ; R
2322..2328 ; U ; U ; U
2329 ; U ; R ; U
232A ; U ; R ; U
232B ; U ; U ; U
232C..237C ; U ; U ; R
237D..239A ; U ; U ; U
239B..23B3 ; U ; U ; R
23B4..23B6 ; U ; U ; U
23B7..23B9 ; U ; U ; R
23BA..23CF ; U ; U ; U
23D0 ; U ; U ; R
23D1..23DB ; U ; U ; U
23DC..23E1 ; U ; U ; R
23E2..23FF ; U ; U ; U
2400..243F ; U ; U ; U
2440..245F ; U ; U ; U
2460..24FF ; U ; U ; U
2500..257F ; U ; R ; R
2580..259F ; U ; R ; R
25A0..25FF ; U ; U ; U
2600..2619 ; U ; U ; U
261A..261F ; U ; U ; R
2620..26FF ; U ; U ; U
2700..2767 ; U ; U ; U
2768..2775 ; U ; R ; R
2776..2793 ; U ; U ; U
2794..27BF ; U ; U ; R
27C0..27C4 ; U ; U ; R
27C5..27C6 ; U ; R ; R
27C7..27E5 ; U ; U ; R
27E6..27EF ; U ; R ; R
27F0..27FF ; U ; U ; R
2800..28FF ; U ; U ; R
2900..297F ; U ; U ; R
2980..2982 ; U ; U ; R
2983..2998 ; U ; R ; R
2999..29D7 ; U ; U ; R
29D8..29DB ; U ; R ; R
29DC..29FB ; U ; U ; R
29FC..29FD ; U ; R ; R
29FE..29FF ; U ; U ; R
2A00..2AFF ; U ; U ; R
2B00..2B11 ; U ; U ; R
2B12..2B2F ; U ; U ; U
2B30..2B4C ; U ; U ; R
2B4D..2BFF ; U ; U ; U
2C00..2C5F ; U ; U ; R
2C60..2C7F ; U ; U ; R
2C80..2CFF ; U ; U ; R
2D00..2D2F ; U ; U ; R
2D30..2D7F ; U ; U ; R
2D80..2DDF ; U ; U ; R
2DE0..2DFF ; U ; U ; R
2E00..2E16 ; U ; U ; R
2E17 ; U ; R ; R
2E18..2E19 ; U ; U ; R
2E1A ; U ; R ; R
2E1B..2E1F ; U ; U ; R
2E20..2E21 ; U ; R ; R
2E22..2E25 ; U ; R ; R
2E26..2E29 ; U ; R ; R
2E2A..2E39 ; U ; U ; R
2E3A ; U ; R ; R
2E3B ; U ; R ; R
2E3C..2E7F ; U ; U ; R
2E80..2EFF ; U ; U ; U
2F00..2FDF ; U ; U ; U
2FE0..2FEF ; U ; U ; U
2FF0..2FFF ; U ; U ; U
3000 ; U ; R ; U
3001 ; U ; Tu ; Tu
3002 ; U ; Tu ; Tu
3003 ; U ; U ; U
3004 ; U ; U ; U
3005 ; U ; U ; U
3006 ; U ; U ; U
3007 ; U ; U ; U
3008 ; U ; Tr ; Tr
3009 ; U ; Tr ; Tr
300A ; U ; Tr ; Tr
300B ; U ; Tr ; Tr
300C ; U ; Tr ; Tr
300D ; U ; Tr ; Tr
300E ; U ; Tr ; Tr
300F ; U ; Tr ; Tr
3010 ; U ; Tr ; Tr
3011 ; U ; Tr ; Tr
3012 ; U ; U ; U
3013 ; U ; U ; U
3014 ; U ; Tr ; Tr
3015 ; U ; Tr ; Tr
3016 ; U ; Tr ; Tr
3017 ; U ; Tr ; Tr
3018 ; U ; Tr ; Tr
3019 ; U ; Tr ; Tr
301A ; U ; Tr ; Tr
301B ; U ; Tr ; Tr
301C ; U ; Tr ; Tr
301D ; U ; Tr ; Tr
301E ; U ; Tr ; Tr
301F ; U ; Tr ; Tr
3020 ; U ; U ; U
3021 ; U ; U ; U
3022 ; U ; U ; U
3023 ; U ; U ; U
3024 ; U ; U ; U
3025 ; U ; U ; U
3026 ; U ; U ; U
3027 ; U ; U ; U
3028 ; U ; U ; U
3029 ; U ; U ; U
302A ; U ; U ; U
302B ; U ; U ; U
302C ; U ; U ; U
302D ; U ; U ; U
302E ; U ; U ; U
302F ; U ; U ; U
3030 ; U ; Tr ; Tr
3031 ; U ; U ; U
3032 ; U ; U ; U
3033 ; U ; U ; U
3034 ; U ; U ; U
3035 ; U ; U ; U
3036 ; U ; U ; U
3037 ; U ; U ; U
3038 ; U ; U ; U
3039 ; U ; U ; U
303A ; U ; U ; U
303B ; U ; U ; U
303C ; U ; U ; U
303D ; U ; U ; U
303E ; U ; U ; U
303F ; U ; U ; U
3040 ; U ; U ; U
3041 ; U ; Tu ; Tu
3042 ; U ; U ; U
3043 ; U ; Tu ; Tu
3044 ; U ; U ; U
3045 ; U ; Tu ; Tu
3046 ; U ; U ; U
3047 ; U ; Tu ; Tu
3048 ; U ; U ; U
3049 ; U ; Tu ; Tu
304A ; U ; U ; U
304B ; U ; U ; U
304C ; U ; U ; U
304D ; U ; U ; U
304E ; U ; U ; U
304F ; U ; U ; U
3050 ; U ; U ; U
3051 ; U ; U ; U
3052 ; U ; U ; U
3053 ; U ; U ; U
3054 ; U ; U ; U
3055 ; U ; U ; U
3056 ; U ; U ; U
3057 ; U ; U ; U
3058 ; U ; U ; U
3059 ; U ; U ; U
305A ; U ; U ; U
305B ; U ; U ; U
305C ; U ; U ; U
305D ; U ; U ; U
305E ; U ; U ; U
305F ; U ; U ; U
3060 ; U ; U ; U
3061 ; U ; U ; U
3062 ; U ; U ; U
3063 ; U ; Tu ; Tu
3064 ; U ; U ; U
3065 ; U ; U ; U
3066 ; U ; U ; U
3067 ; U ; U ; U
3068 ; U ; U ; U
3069 ; U ; U ; U
306A ; U ; U ; U
306B ; U ; U ; U
306C ; U ; U ; U
306D ; U ; U ; U
306E ; U ; U ; U
306F ; U ; U ; U
3070 ; U ; U ; U
3071 ; U ; U ; U
3072 ; U ; U ; U
3073 ; U ; U ; U
3074 ; U ; U ; U
3075 ; U ; U ; U
3076 ; U ; U ; U
3077 ; U ; U ; U
3078 ; U ; U ; U
3079 ; U ; U ; U
307A ; U ; U ; U
307B ; U ; U ; U
307C ; U ; U ; U
307D ; U ; U ; U
307E ; U ; U ; U
307F ; U ; U ; U
3080 ; U ; U ; U
3081 ; U ; U ; U
3082 ; U ; U ; U
3083 ; U ; Tu ; Tu
3084 ; U ; U ; U
3085 ; U ; Tu ; Tu
3086 ; U ; U ; U
3087 ; U ; Tu ; Tu
3088 ; U ; U ; U
3089 ; U ; U ; U
308A ; U ; U ; U
308B ; U ; U ; U
308C ; U ; U ; U
308D ; U ; U ; U
308E ; U ; Tu ; Tu
308F ; U ; U ; U
3090 ; U ; U ; U
3091 ; U ; U ; U
3092 ; U ; U ; U
3093 ; U ; U ; U
3094 ; U ; U ; U
3095 ; U ; Tu ; Tu
3096 ; U ; Tu ; Tu
3097 ; U ; U ; U
3098 ; U ; U ; U
3099 ; U ; U ; U
309A ; U ; U ; U
309B ; U ; Tu ; Tu
309C ; U ; Tu ; Tu
309D ; U ; Tu ; Tu
309E ; U ; Tu ; Tu
309F ; U ; U ; U
30A0 ; U ; Tr ; Tr
30A1 ; U ; Tu ; Tu
30A2 ; U ; U ; U
30A3 ; U ; Tu ; Tu
30A4 ; U ; U ; U
30A5 ; U ; Tu ; Tu
30A6 ; U ; U ; U
30A7 ; U ; Tu ; Tu
30A8 ; U ; U ; U
30A9 ; U ; Tu ; Tu
30AA ; U ; U ; U
30AB ; U ; U ; U
30AC ; U ; U ; U
30AD ; U ; U ; U
30AE ; U ; U ; U
30AF ; U ; U ; U
30B0 ; U ; U ; U
30B1 ; U ; U ; U
30B2 ; U ; U ; U
30B3 ; U ; U ; U
30B4 ; U ; U ; U
30B5 ; U ; U ; U
30B6 ; U ; U ; U
30B7 ; U ; U ; U
30B8 ; U ; U ; U
30B9 ; U ; U ; U
30BA ; U ; U ; U
30BB ; U ; U ; U
30BC ; U ; U ; U
30BD ; U ; U ; U
30BE ; U ; U ; U
30BF ; U ; U ; U
30C0 ; U ; U ; U
30C1 ; U ; U ; U
30C2 ; U ; U ; U
30C3 ; U ; Tu ; Tu
30C4 ; U ; U ; U
30C5 ; U ; U ; U
30C6 ; U ; U ; U
30C7 ; U ; U ; U
30C8 ; U ; U ; U
30C9 ; U ; U ; U
30CA ; U ; U ; U
30CB ; U ; U ; U
30CC ; U ; U ; U
30CD ; U ; U ; U
30CE ; U ; U ; U
30CF ; U ; U ; U
30D0 ; U ; U ; U
30D1 ; U ; U ; U
30D2 ; U ; U ; U
30D3 ; U ; U ; U
30D4 ; U ; U ; U
30D5 ; U ; U ; U
30D6 ; U ; U ; U
30D7 ; U ; U ; U
30D8 ; U ; U ; U
30D9 ; U ; U ; U
30DA ; U ; U ; U
30DB ; U ; U ; U
30DC ; U ; U ; U
30DD ; U ; U ; U
30DE ; U ; U ; U
30DF ; U ; U ; U
30E0 ; U ; U ; U
30E1 ; U ; U ; U
30E2 ; U ; U ; U
30E3 ; U ; Tu ; Tu
30E4 ; U ; U ; U
30E5 ; U ; Tu ; Tu
30E6 ; U ; U ; U
30E7 ; U ; Tu ; Tu
30E8 ; U ; U ; U
30E9 ; U ; U ; U
30EA ; U ; U ; U
30EB ; U ; U ; U
30EC ; U ; U ; U
30ED ; U ; U ; U
30EE ; U ; Tu ; Tu
30EF ; U ; U ; U
30F0 ; U ; U ; U
30F1 ; U ; U ; U
30F2 ; U ; U ; U
30F3 ; U ; U ; U
30F4 ; U ; U ; U
30F5 ; U ; Tu ; Tu
30F6 ; U ; Tu ; Tu
30F7 ; U ; U ; U
30F8 ; U ; U ; U
30F9 ; U ; U ; U
30FA ; U ; U ; U
30FB ; U ; U ; U
30FC ; U ; Tr ; Tr
30FD ; U ; U ; U
30FE ; U ; U ; U
30FF ; U ; U ; U
3100..312F ; U ; U ; U
3130..318F ; U ; U ; U
3190..319F ; U ; U ; U
31A0..31BF ; U ; U ; U
31C0..31EF ; U ; U ; U
31F0..31FF ; U ; Tu ; Tu
3200..321E ; U ; U ; U
321F..32FF ; U ; U ; U
3300..3357 ; U ; Tu ; Tu
3358..337A ; U ; U ; U
337B..337F ; U ; Tu ; Tu
3380..33FF ; U ; U ; U
3400..4DBF ; U ; U ; U
4DC0..4DFF ; U ; U ; U
